pdf_sha256,tabela_idx,linha_tabela,nome_pdf,url_fonte,sigla,pagina,texto,parse_flag,servico,produto,eixo_num,area
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,0,5,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,1,prices Públicas | dos usuários | enmncuo | Joe | amas |,sem_produto,prices Públicas | dos usuários | enmncuo | Joe | amas |,,1,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,0,11,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,1,E públicas federais | e dos usuários | mmamgam Serviços Digitais e Melhoria da Qualidade | Ju SGE | 5],sem_produto,E públicas federais | e dos usuários | mmamgam Serviços Digitais e Melhoria da Qualidade | Ju SGE | 5],,1,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,0,13,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,1,Solicitar Parcelamento Simplificado de Débitos | ua Integração à ferramenta de avaliação da satisfação E | ; . e | E,sem_produto,Solicitar Parcelamento Simplificado de Débitos | ua Integração à ferramenta de avaliação da satisfação E | ; . e | E,,1,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,1,0,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,"PPSI Ciclo 5 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | jul-25",sem_produto,"PPSI Ciclo 5 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | jul-25",,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,1,2,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,"PPSI Ciclo 6 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | ES",sem_produto,"PPSI Ciclo 6 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | ES",,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,1,4,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,"PPSI Ciclo 7 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | juL-26",sem_produto,"PPSI Ciclo 7 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | juL-26",,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,2,0,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,peestcio1 O | limpimentaçõodopes | Isegurançacpivacidado | soe | | cercas,sem_produto,peestcio1 O | limpimentaçõodopes | Isegurançacpivacidado | soe | | cercas,,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,2,1,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,[pPsiciioz O | |rustoravaliação análise delacunas eplanejamento | Segurançacprvacidade | | Ísoe | | jancda,sem_produto,[pPsiciioz O | |rustoravaliação análise delacunas eplanejamento | Segurançacprvacidade | | Ísoe | | jancda,,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,2,2,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,ETeeeeoeeoeeoe— | o | O ooo | oo— | =,sem_produto,ETeeeeoeeoeeoe— | o | O ooo | oo— | =,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,1,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,"traso ou indisponibilidade nas ações interoperabilidade que envolvem outros parceiros | defPouco provável | ransferir | 1,2,7,11e 14",sem_produto,"traso ou indisponibilidade nas ações interoperabilidade que envolvem outros parceiros | defPouco provável | ransferir | 1,2,7,11e 14",,2,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,2,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,e remnfo ão de Sistemas | fe,sem_produto,e remnfo ão de Sistemas | fe,,2,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,3,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,Risco de Conformidade com a LGPD Outras Normas de Segurança | elMédio | fe Alto | iti | que.,sem_produto,Risco de Conformidade com a LGPD Outras Normas de Segurança | elMédio | fe Alto | iti | que.,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,4,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,Resiliência da Infraestrutura Sc | Baixo | Médio,sem_produto,Resiliência da Infraestrutura Sc | Baixo | Médio,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,5,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,A | GS 13.,sem_produto,A | GS 13.,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,7,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,"Orçamento Insuficiente ou Repasse | deMédio | Alto | Mitigar | 1,3,5,7 0 13",sem_produto,"Orçamento Insuficiente ou Repasse | deMédio | Alto | Mitigar | 1,3,5,7 0 13",,4,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,0,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,"Solicitar assessoria, planejamento ou orientação em projetos sobre simulídeos, oncocercose ou mansonelose - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/01/2025",sem_produto,"Solicitar assessoria, planejamento ou orientação em projetos sobre simulídeos, oncocercose ou mansonelose - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/01/2025",,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,1,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar diagnóstico de referência parasitológico e/ou molecular nos vetores da oncocercose - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/01/2025,sem_produto,Solicitar diagnóstico de referência parasitológico e/ou molecular nos vetores da oncocercose - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/01/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,2,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar diagnóstico de referência em oncocercose em humanos - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/01/2025,sem_produto,Solicitar diagnóstico de referência em oncocercose em humanos - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/01/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,3,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Visitar trilha interpretativa - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 27/02/2025,sem_produto,Visitar trilha interpretativa - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 27/02/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,4,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar treinamento especializado em hanseniase- Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 28/02/2025,sem_produto,Solicitar treinamento especializado em hanseniase- Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 28/02/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,5,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar doação de sementes e mudas nativas para conservação e restauração ecológica do bioma atlântico - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 28/03/2025,sem_produto,Solicitar doação de sementes e mudas nativas para conservação e restauração ecológica do bioma atlântico - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 28/03/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,6,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar identificação de referência de triatomíneos (barbeiros) - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/03/2025,sem_produto,Solicitar identificação de referência de triatomíneos (barbeiros) - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/03/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,7,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar assessoria e consultoria em hanseníase - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/03/2025,sem_produto,Solicitar assessoria e consultoria em hanseníase - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/03/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,8,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar diagnóstico molecular e genotipagem em leishmaniose - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/04/2025,sem_produto,Solicitar diagnóstico molecular e genotipagem em leishmaniose - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/04/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,9,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar fornecimento de exemplares de culicídeos vetores de referencia - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/04/2025,sem_produto,Solicitar fornecimento de exemplares de culicídeos vetores de referencia - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/04/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,10,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar identificação de morcegos hospedeiros - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 09/05/2025,sem_produto,Solicitar identificação de morcegos hospedeiros - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 09/05/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,11,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar diagnóstico de referência para esquistossomose em caramujo - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,sem_produto,Solicitar diagnóstico de referência para esquistossomose em caramujo - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,12,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar diagnóstico de referência em identificação de moluscos de água doce - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,sem_produto,Solicitar diagnóstico de referência em identificação de moluscos de água doce - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,13,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar diagnóstico de referência para angiostrongilíases em moluscos - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,sem_produto,Solicitar diagnóstico de referência para angiostrongilíases em moluscos - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,14,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,Solicitar identificação de moluscos terrestres - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,sem_produto,Solicitar identificação de moluscos terrestres - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/05/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,0,15,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,1,"Solicitar fornecimento de material biológico: cepas de Schistosoma mansoni, moluscos do gênero Biomphalaria - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/05/2025",sem_produto,"Solicitar fornecimento de material biológico: cepas de Schistosoma mansoni, moluscos do gênero Biomphalaria - Fiocruz IOC/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 31/05/2025",,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,1,0,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,2,Visitar Sala Verde - Diálogos em Biodiversidade e Saúde - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 03/06/2025,sem_produto,Visitar Sala Verde - Diálogos em Biodiversidade e Saúde - Fiocruz Mata Atlântica/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 03/06/2025,,1,
88995e9705ca1c953b2f6405bc3dc35ddfe04718af1b4453feb2317ca8f64637,1,1,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,FIOCRUZ,2,Solicitar treinamento de referência para o diagnóstico molecular da malária - Fiocruz/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/06/2025,sem_produto,Solicitar treinamento de referência para o diagnóstico molecular da malária - Fiocruz/RJ | Disponibilização emAcessoDigital | Serviços Digitais e Melhoria da Qualidade | PR/CQuali | 31/12/2024 | 30/06/2025,,1,
